arc_id,from_node,to_node,length_km,t0_h,ideal_time_h,capacity_veh_h,alpha,beta,free_speed_kmh,edge_kind,road_class,is_congested,congestion_time_penalty,infos
0,0,52,3.124055766583747,34.08060836273179,0.05680101393788631,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,"(34.08060836273179, 1200.0, 0.15, 4.0)"
1,52,0,3.124055766583747,34.08060836273179,0.05680101393788631,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,"(34.08060836273179, 1200.0, 0.15, 4.0)"
2,0,24,2.5942241133374417,28.300626690953912,0.04716771115158985,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,"(28.300626690953912, 1200.0, 0.15, 4.0)"
3,24,0,2.5942241133374417,28.300626690953912,0.04716771115158985,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,"(28.300626690953912, 1200.0, 0.15, 4.0)"
4,0,2,3.784062845708723,41.280685589549705,0.06880114264924951,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,"(41.280685589549705, 1200.0, 0.15, 4.0)"
5,2,0,3.784062845708723,41.280685589549705,0.06880114264924951,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,"(41.280685589549705, 1200.0, 0.15, 4.0)"
6,0,41,6.070432973386268,66.22290516421383,0.11037150860702305,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,"(66.22290516421383, 1200.0, 0.15, 4.0)"
7,41,0,6.070432973386268,66.22290516421383,0.11037150860702305,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,"(66.22290516421383, 1200.0, 0.15, 4.0)"
8,0,20,6.273730092671854,68.4406919200566,0.11406781986676098,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,"(68.4406919200566, 1200.0, 0.15, 4.0)"
9,20,0,6.273730092671854,68.4406919200566,0.11406781986676098,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,"(68.4406919200566, 1200.0, 0.15, 4.0)"
10,1,61,3.645342198406789,39.76736943716497,0.06627894906194162,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,"(39.76736943716497, 1200.0, 0.15, 4.0)"
11,61,1,3.645342198406789,39.76736943716497,0.06627894906194162,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,"(39.76736943716497, 1200.0, 0.15, 4.0)"
12,1,26,2.595014455707521,28.30924860771841,0.047182081012864016,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,"(28.30924860771841, 1200.0, 0.15, 4.0)"
