node_id,x,y,r_km,degree,component_id
0,0.6048914603852059,0.15584109423816264,16.19047037691543,5,0
1,0.26552733057755085,0.5252210567330686,10.612134901981982,7,0
2,0.6889505825321194,0.15813021910744549,17.577513225614982,5,0
3,0.41287971331333495,0.35262162666523184,7.7041168728360585,5,0
4,0.47607593101956436,0.5055440504975501,1.1051120234223126,6,0
5,0.6783614108623868,0.39386222211544564,9.33986038855301,10,0
6,0.4802850179610181,0.05613673920490009,19.993539743400216,4,0
7,0.6020441279903266,0.3745357320200978,7.2775291383136125,6,0
8,0.5208872310933766,0.5025557747897973,0.946935597195857,9,0
9,0.2973244192065228,0.5214976497857703,9.171563034318467,6,0
10,0.4544492149800964,0.6713729560795253,7.979549942510096,8,0
11,0.8075619575313975,0.5030704316853565,13.840977753552714,4,0
12,0.34825056154669926,0.24563206672811605,13.32873394342092,6,0
13,0.5572895127293015,0.29008128276712725,9.79181347502839,6,0
14,0.36212779932781447,0.579089956741267,7.152588977107654,6,0
15,0.5211864795539509,0.9159931799488564,18.743955430396742,5,0
16,0.24209245699517876,0.3776997967745622,12.84461450985308,5,0
17,0.48552047904680196,0.510168766134388,0.7962079952833959,8,0
18,0.5460699580967124,0.4738079264625833,2.384773187186808,7,0
19,0.272497748188973,0.1820663828969142,17.592586376461604,4,0
20,0.5312730192106283,0.03744680082854876,20.86241271242237,4,0
21,0.2771323234191541,0.7732688129642898,15.868217825011083,5,0
22,0.6687613858456494,0.3958816657470461,8.923289280434194,6,0
23,0.9377367083936722,0.19609121691722772,23.980143827302438,4,0
24,0.5809108530416026,0.1034160368287446,18.213908068250824,6,0
25,0.6007005314623062,0.8528284183765571,16.51128983296156,5,0
26,0.3229518156510527,0.5199380643959758,8.017528399454644,7,0
27,0.6764408231207291,0.5691011288068796,8.527034559766856,7,0
28,0.6216468092014409,0.6098864787667815,7.376841696784913,6,0
29,0.33041214229743987,0.10694549133833109,19.26356856154396,4,0
30,0.4245551502203454,0.27334101332551874,10.74984180056242,6,0
31,0.5456273236902066,0.47789901997048473,2.2814183352526,6,0
32,0.5103575417605779,0.6558802212742506,7.0300776783090155,6,0
33,0.38759992809221744,0.6796884422171973,9.537634280754238,6,0
34,0.3820950782861561,0.5383279152615743,5.579020012207191,5,0
35,0.6351420854840726,0.8854122048897318,18.378847914588437,6,0
36,0.8403021945573954,0.8916404620183569,23.34749164468908,4,0
37,0.08050559280989433,0.6417052230708991,19.925191442403676,4,0
38,0.48479740474911004,0.7539744348339944,11.449306451244492,6,0
39,0.3794824958341865,0.17523333148475004,15.588318126803273,6,0
40,0.1977696480537161,0.5557349330042771,13.829691825886648,7,0
41,0.6649103986126458,0.27665224932941646,12.49345052549081,8,0
42,0.4729565439560079,0.4585698657127953,2.226388150629799,5,0
43,0.4316185793889722,0.7368174732774896,11.092160836689644,7,0
44,0.593313534355988,0.3760705153111998,6.980939339387384,5,0
45,0.593897349656625,0.30288565245826937,9.825137455306407,5,0
46,0.39324337431908624,0.6464539599723533,8.155527115072072,6,0
47,0.3651257912682677,0.5289741909967216,6.207807644247195,6,0
48,0.4686122554247797,0.4104892373079305,4.268450359691603,5,0
49,0.6487111193046907,0.7495809540777606,13.07369268904233,6,0
50,0.4660144656611014,0.6044013357953739,4.940716274673312,6,0
51,0.9004933192863707,0.504705838663456,18.02344344219068,5,0
52,0.5511928624448513,0.19984197585495575,13.702152603277622,6,0
53,0.45087458969887273,0.31825511152194247,8.472020633292878,5,0
54,0.34172427638451713,0.21356021759805985,14.726689414042212,6,0
55,0.5053879187122151,0.5619910621091251,2.800114450369905,8,0
56,0.02567400812674878,0.4770394419427453,21.369662513257186,5,0
57,0.24743148990208752,0.3788615541250254,12.605252282608985,6,0
58,0.8039864257100483,0.8097177725035003,19.528799563247965,4,0
59,0.5729981283758016,0.5543163216340965,4.094502878618229,7,0
60,0.4459010340793845,0.25276011325827,11.389024361736627,5,0
61,0.2337284878322844,0.4507155832955198,12.185736770586141,6,0
62,0.04486091791791113,0.33691265872771553,21.756421039928018,4,0
63,0.5157710120371024,0.297891774763805,9.122517774486267,7,0
64,0.34486383566697926,0.22522239283111373,14.199618827383258,7,0
65,0.3622587890781286,0.4959063031085947,6.201091361158606,5,0
66,0.2653909190780477,0.41366275317762236,11.249598686434126,4,0
67,0.41332452026821836,0.7565691768442069,12.186643185013173,7,0
68,0.7464731571818513,0.48796032291255054,11.104516709294836,5,0
69,0.6214607194803589,0.48874482618903037,5.489148864920515,7,0
70,0.693297633427086,0.9695753550238114,22.85118384234956,5,0
71,0.08603759677892762,0.7697608600839505,22.234544759235387,5,0
72,0.5388733965231651,0.5233050907634736,2.0395816068008816,10,0
73,0.44878256930689914,0.8538480287611699,16.089098689689266,4,0
74,0.5353998766638358,0.5501948508197188,2.7639944810315615,9,0
75,0.4502609101859917,0.9317607839505205,19.557734710761252,5,0
76,0.5221538597582636,0.6813433996429908,8.22112217066133,6,0
77,0.28280666241169855,0.2589126899721668,14.602207874911755,5,0
78,0.12122194088041437,0.35530556331218077,18.246337402601693,5,0
79,0.4630283498971299,0.12852875001810057,16.798795485413493,4,0
