名称,路网节点,类型,X坐标,Y坐标
Customer_1,29,Customer,0.1634024937619284,0.3794554417576478
Customer_10,42,Customer,0.39940050514039727,0.21932075915728333
Customer_11,25,Customer,0.37018096711688264,0.2095070307714877
Customer_12,11,Customer,0.3402505165179919,0.15547949981178155
Customer_13,57,Customer,0.9126278393448205,0.8705185698367669
Customer_14,76,Customer,0.43810008391450406,0.5175758410355906
Customer_15,115,Customer,0.08011146524058688,0.1858249609807232
Customer_16,95,Customer,0.4218816398344042,0.27854514466694047
Customer_17,39,Customer,0.26488016649805246,0.24662750769398345
Customer_18,23,Customer,0.10100142940972912,0.2779736031100921
Customer_19,49,Customer,0.9710783776136181,0.8607797022344981
Customer_2,108,Customer,0.5557683234056182,0.718408275296326
Customer_20,77,Customer,0.12100419586826572,0.22469733703155736
Customer_21,92,Customer,0.4026212821022688,0.33930260539496315
Customer_22,4,Customer,0.4219218196852704,0.029797219438070344
Customer_23,7,Customer,0.6498844377795232,0.5449414806032167
Customer_24,48,Customer,0.9961213802400968,0.529114345099137
Customer_25,41,Customer,0.5845859902235405,0.897822883602477
Customer_26,51,Customer,0.6817103690265748,0.5369703304087952
Customer_27,35,Customer,0.21098284358632646,0.9429097143350544
Customer_28,28,Customer,0.171138648198097,0.7291267979503492
Customer_29,10,Customer,0.8058192518328079,0.6981393949882269
Customer_3,106,Customer,0.4550083673391433,0.4230074859901629
Customer_30,80,Customer,0.07099308600903254,0.6311029572700989
Customer_31,52,Customer,0.2668251899525428,0.6409617985798081
Customer_32,104,Customer,0.3789731189769161,0.9853088437797259
Customer_33,21,Customer,0.22789827565154686,0.28938796360210717
Customer_34,0,Customer,0.6394267984578837,0.025010755222666936
Customer_35,2,Customer,0.7364712141640124,0.6766994874229113
Customer_36,94,Customer,0.1902089084408115,0.4486135478331319
Customer_37,90,Customer,0.7290758494598506,0.6733645472933015
Customer_38,61,Customer,0.7786264786305582,0.5303536721951775
Customer_39,5,Customer,0.21863797480360336,0.5053552881033624
Customer_4,99,Customer,0.9992824684127266,0.8360275850799519
Customer_40,3,Customer,0.8921795677048454,0.08693883262941615
Customer_41,60,Customer,0.7625108000751513,0.5393790301196257
Customer_42,59,Customer,0.6089702114381723,0.1528392685496348
Customer_43,118,Customer,0.8902873141294375,0.24621534778862486
Customer_44,32,Customer,0.8428519201898096,0.7759999115462448
Customer_45,87,Customer,0.8074969977666434,0.1904099143618777
Customer_46,54,Customer,0.45372370632920644,0.9538159275210801
Customer_47,100,Customer,0.9689962572847513,0.9263669830081276
Customer_48,89,Customer,0.4235786230199208,0.467024668036675
Customer_49,65,Customer,0.30751412540266143,0.05792516649418755
Customer_5,55,Customer,0.8758529403781941,0.26338905075109076
Customer_50,43,Customer,0.9975376064951103,0.5095262936764645
Customer_6,37,Customer,0.65543866529488,0.39563190106066426
Customer_7,83,Customer,0.23800463436899522,0.6689777782962806
Customer_8,6,Customer,0.026535969683863625,0.1988376506866485
Customer_9,63,Customer,0.019476742385832302,0.9290986162646171
